station_name,hour,realized_incidents,blocked_incidents,total_attempts,realized_rate,mean_active_agents,mean_station_expected_lambda,blocked_rate
bruns avenue,15,10,0,10,1.0,8.7,0.0435,0.0
bruns avenue,22,10,0,10,1.0,9.2,0.046,0.0
bruns avenue,23,10,0,10,1.0,13.7,0.0685,0.0
central piedmont community college,9,10,0,10,1.0,11.6,0.05800000000000001,0.0
ctc/arena,14,10,0,10,1.0,36.1,0.05294099091679096,0.0
ctc/arena,17,10,0,10,1.0,10.7,0.09109363994346012,0.0
elizabeth and hawthorne,13,10,0,10,1.0,12.8,0.064,0.0
french street,0,10,0,10,1.0,12.4,0.062,0.0
hawthorne and 5th,3,10,0,10,1.0,8.1,0.0405,0.0
hawthorne and 5th,8,10,0,10,1.0,14.9,0.0745,0.0
hawthorne and 8th,19,10,0,10,1.0,15.6,0.078,0.0
hawthorne and 8th,20,10,0,10,1.0,10.2,0.051000000000000004,0.0
irwin avenue,10,10,0,10,1.0,5.8,0.029000000000000005,0.0
irwin avenue,20,10,0,10,1.0,11.1,0.05550000000000001,0.0
johnson & wales,4,10,0,10,1.0,12.4,0.062,0.0
johnson & wales,7,10,0,10,1.0,17.2,0.08600000000000001,0.0
johnson c. smith university,22,10,0,10,1.0,17.2,0.086,0.0
mint street,18,10,0,10,1.0,17.7,0.0885,0.0
old concord rd,19,10,0,10,1.0,6.5,0.0325,0.0
parkwood,18,10,0,10,1.0,16.6,0.08299999999999999,0.0
parkwood,19,10,0,10,1.0,12.2,0.061,0.0
parkwood,23,10,0,10,1.0,11.5,0.057499999999999996,0.0
central piedmont community college,17,10,1,11,0.9090909090909091,20.727272727272727,0.10363636363636362,0.09090909090909091
central piedmont community college,11,10,2,12,0.8333333333333334,14.166666666666666,0.07083333333333333,0.16666666666666666
davidson st,23,10,3,13,0.7692307692307693,13.307692307692308,0.06653846153846153,0.23076923076923078
tryon street,5,10,3,13,0.7692307692307693,12.615384615384615,0.06307692307692309,0.23076923076923078
carson,0,10,4,14,0.7142857142857143,6.928571428571429,0.5594771816852931,0.2857142857142857
charlotte gateway station,15,10,5,15,0.6666666666666666,25.933333333333334,0.12966666666666668,0.3333333333333333
hawthorne and 8th,12,10,6,16,0.625,10.6875,0.0534375,0.375
bland st,0,10,14,24,0.4166666666666667,7.5,0.46217617860701865,0.5833333333333334
3rd street/convention center,1,9,0,9,1.0,5.333333333333333,0.19228179119600208,0.0
9th street,12,9,0,9,1.0,12.222222222222221,0.05672608694170705,0.0
brooklyn village,12,9,0,9,1.0,24.77777777777778,0.0455812914694165,0.0
bruns avenue,2,9,0,9,1.0,9.444444444444445,0.04722222222222222,0.0
carson,15,9,0,9,1.0,23.77777777777778,0.0354893292292853,0.0
ctc/arena,12,9,0,9,1.0,29.333333333333332,0.05063397286265798,0.0
elizabeth and hawthorne,11,9,0,9,1.0,12.11111111111111,0.06055555555555556,0.0
elizabeth and hawthorne,15,9,0,9,1.0,18.555555555555557,0.09277777777777778,0.0
hawthorne and 5th,15,9,0,9,1.0,9.444444444444445,0.04722222222222222,0.0
hawthorne and 8th,6,9,0,9,1.0,15.88888888888889,0.07944444444444444,0.0
hawthorne and 8th,18,9,0,9,1.0,16.88888888888889,0.08444444444444445,0.0
irwin avenue,23,9,0,9,1.0,11.777777777777779,0.05888888888888889,0.0
johnson c. smith university,3,9,0,9,1.0,8.555555555555555,0.042777777777777776,0.0
johnson c. smith university,23,9,0,9,1.0,11.88888888888889,0.059444444444444446,0.0
sunnyside,21,9,0,9,1.0,10.666666666666666,0.05333333333333333,0.0
tryon street,14,9,0,9,1.0,16.444444444444443,0.08222222222222222,0.0
bland st,8,9,1,10,0.9,5.3,0.08775772432904337,0.1
charlotte gateway station,9,9,1,10,0.9,9.8,0.049,0.1
davidson st,22,9,1,10,0.9,14.9,0.0745,0.1
central piedmont community college,7,9,2,11,0.8181818181818182,13.454545454545455,0.06727272727272728,0.18181818181818182
ctc/arena,8,9,2,11,0.8181818181818182,19.363636363636363,0.047091663581996415,0.18181818181818182
mint street,4,9,2,11,0.8181818181818182,14.727272727272727,0.07363636363636364,0.18181818181818182
3rd street/convention center,9,9,3,12,0.75,30.166666666666668,0.08277779584177067,0.25
davidson st,2,9,3,12,0.75,14.166666666666666,0.07083333333333333,0.25
hawthorne and 8th,16,9,4,13,0.6923076923076923,12.846153846153847,0.06423076923076923,0.3076923076923077
central piedmont community college,13,9,6,15,0.6,14.6,0.073,0.4
bland st,1,9,7,16,0.5625,5.0,0.3064930864143369,0.4375
hawthorne and 8th,15,9,10,19,0.47368421052631576,17.894736842105264,0.08947368421052633,0.5263157894736842
7th st,2,9,12,21,0.42857142857142855,18.523809523809526,0.4484999342486396,0.5714285714285714
25th street,3,8,0,8,1.0,8.75,0.04375,0.0
25th street,12,8,0,8,1.0,12.5,0.0625,0.0
36th street,1,8,0,8,1.0,11.125,0.055625,0.0
36th street,22,8,0,8,1.0,13.75,0.06875,0.0
3rd street/convention center,11,8,0,8,1.0,16.25,0.05387021795313526,0.0
7th st,7,8,0,8,1.0,5.25,0.103956537759975,0.0
7th st,17,8,0,8,1.0,18.75,0.05298068793750721,0.0
carson,14,8,0,8,1.0,16.75,0.0672413072124694,0.0
central piedmont community college,16,8,0,8,1.0,16.875,0.084375,0.0
ctc/arena,11,8,0,8,1.0,28.25,0.04142889178391536,0.0
ctc/arena,15,8,0,8,1.0,28.125,0.04981398593255794,0.0
east/west,1,8,0,8,1.0,4.5,0.111138503893246,0.0
french street,2,8,0,8,1.0,10.0,0.05,0.0
french street,5,8,0,8,1.0,8.5,0.0425,0.0
french street,22,8,0,8,1.0,7.125,0.035625000000000004,0.0
hawthorne and 8th,21,8,0,8,1.0,10.75,0.05375,0.0
irwin avenue,5,8,0,8,1.0,4.75,0.02375,0.0
irwin avenue,9,8,0,8,1.0,22.625,0.113125,0.0
irwin avenue,21,8,0,8,1.0,12.75,0.06375,0.0
johnson & wales,15,8,0,8,1.0,14.125,0.070625,0.0
johnson & wales,21,8,0,8,1.0,12.125,0.060625,0.0
mint street,2,8,0,8,1.0,10.875,0.054375,0.0
old concord rd,2,8,0,8,1.0,8.625,0.043125,0.0
parkwood,9,8,0,8,1.0,8.25,0.04125,0.0
parkwood,20,8,0,8,1.0,11.75,0.058750000000000004,0.0
parkwood,21,8,0,8,1.0,8.875,0.044375,0.0
parkwood,22,8,0,8,1.0,13.0,0.065,0.0
sugar creek,23,8,0,8,1.0,13.375,0.066875,0.0
sunnyside,2,8,0,8,1.0,6.625,0.033125,0.0
sunnyside,19,8,0,8,1.0,12.625,0.063125,0.0
university city blvd,2,8,0,8,1.0,8.375,0.041875,0.0
wesley heights way,7,8,0,8,1.0,10.125,0.050625,0.0
wesley heights way,20,8,0,8,1.0,12.875,0.064375,0.0
bland st,20,8,1,9,0.8888888888888888,4.0,0.0766935703999724,0.1111111111111111
davidson st,6,8,1,9,0.8888888888888888,13.222222222222221,0.0661111111111111,0.1111111111111111
hawthorne and 8th,10,8,1,9,0.8888888888888888,10.666666666666666,0.05333333333333333,0.1111111111111111
mint street,8,8,1,9,0.8888888888888888,13.11111111111111,0.06555555555555555,0.1111111111111111
7th st,3,8,2,10,0.8,3.5,0.34082282935558217,0.2
bland st,3,8,2,10,0.8,8.9,0.18796976470358873,0.2
parkwood,10,8,2,10,0.8,15.3,0.0765,0.2
tryon street,6,8,2,10,0.8,5.8,0.028999999999999998,0.2
tryon street,18,8,2,10,0.8,24.0,0.12,0.2
7th st,14,8,4,12,0.6666666666666666,18.5,0.0765512243938528,0.3333333333333333
davidson st,12,8,4,12,0.6666666666666666,15.5,0.0775,0.3333333333333333
tryon street,2,8,4,12,0.6666666666666666,12.416666666666666,0.06208333333333333,0.3333333333333333
tryon street,20,8,7,15,0.5333333333333333,7.733333333333333,0.03866666666666667,0.4666666666666667
mint street,9,8,9,17,0.47058823529411764,17.58823529411765,0.08794117647058824,0.5294117647058824
25th street,15,7,0,7,1.0,6.571428571428571,0.032857142857142856,0.0
25th street,22,7,0,7,1.0,11.571428571428571,0.057857142857142864,0.0
36th street,3,7,0,7,1.0,9.571428571428571,0.04785714285714286,0.0
7th st,11,7,0,7,1.0,43.857142857142854,0.06788659026102721,0.0
9th street,9,7,0,7,1.0,14.285714285714286,0.05950398115404988,0.0
9th street,10,7,0,7,1.0,6.857142857142857,0.05591427149033157,0.0
9th street,13,7,0,7,1.0,28.714285714285715,0.08722891914102524,0.0
bland st,5,7,0,7,1.0,3.142857142857143,0.15060492325329664,0.0
brooklyn village,4,7,0,7,1.0,6.571428571428571,0.16677597506960717,0.0
bruns avenue,4,7,0,7,1.0,8.714285714285714,0.04357142857142857,0.0
bruns avenue,21,7,0,7,1.0,11.857142857142858,0.05928571428571428,0.0
carson,6,7,0,7,1.0,1.2857142857142858,0.11053928984401774,0.0
carson,17,7,0,7,1.0,10.428571428571429,0.10004754097048876,0.0
central piedmont community college,2,7,0,7,1.0,13.0,0.065,0.0
central piedmont community college,20,7,0,7,1.0,13.428571428571429,0.06714285714285714,0.0
charlotte gateway station,2,7,0,7,1.0,7.0,0.034999999999999996,0.0
charlotte gateway station,21,7,0,7,1.0,12.571428571428571,0.06285714285714286,0.0
charlotte gateway station,22,7,0,7,1.0,6.714285714285714,0.03357142857142857,0.0
davidson st,7,7,0,7,1.0,4.285714285714286,0.02142857142857143,0.0
east/west,3,7,0,7,1.0,2.0,0.16983523021291388,0.0
east/west,5,7,0,7,1.0,2.4285714285714284,0.2062284938299669,0.0
elizabeth and hawthorne,3,7,0,7,1.0,6.714285714285714,0.03357142857142857,0.0
elizabeth and hawthorne,4,7,0,7,1.0,8.714285714285714,0.04357142857142857,0.0
french street,11,7,0,7,1.0,7.428571428571429,0.037142857142857144,0.0
french street,16,7,0,7,1.0,9.714285714285714,0.04857142857142858,0.0
hawthorne and 5th,0,7,0,7,1.0,5.285714285714286,0.02642857142857143,0.0
hawthorne and 5th,11,7,0,7,1.0,9.857142857142858,0.04928571428571428,0.0
hawthorne and 5th,22,7,0,7,1.0,12.428571428571429,0.062142857142857146,0.0
hawthorne and 5th,23,7,0,7,1.0,6.571428571428571,0.032857142857142856,0.0
johnson & wales,2,7,0,7,1.0,7.428571428571429,0.037142857142857144,0.0
johnson & wales,5,7,0,7,1.0,7.857142857142857,0.03928571428571429,0.0
johnson & wales,9,7,0,7,1.0,20.142857142857142,0.10071428571428571,0.0
johnson & wales,10,7,0,7,1.0,10.428571428571429,0.05214285714285715,0.0
johnson c. smith university,1,7,0,7,1.0,8.857142857142858,0.04428571428571428,0.0
johnson c. smith university,11,7,0,7,1.0,4.0,0.02,0.0
mint street,1,7,0,7,1.0,13.0,0.065,0.0
old concord rd,10,7,0,7,1.0,5.142857142857143,0.025714285714285714,0.0
parkwood,8,7,0,7,1.0,12.857142857142858,0.0642857142857143,0.0
parkwood,13,7,0,7,1.0,7.857142857142857,0.03928571428571429,0.0
sugar creek,9,7,0,7,1.0,5.285714285714286,0.02642857142857143,0.0
sunnyside,1,7,0,7,1.0,6.142857142857143,0.030714285714285715,0.0
sunnyside,22,7,0,7,1.0,3.7142857142857144,0.018571428571428572,0.0
tom hunter,20,7,0,7,1.0,5.571428571428571,0.027857142857142858,0.0
tom hunter,23,7,0,7,1.0,2.142857142857143,0.010714285714285714,0.0
tryon street,0,7,0,7,1.0,10.857142857142858,0.054285714285714284,0.0
wesley heights way,0,7,0,7,1.0,10.285714285714286,0.05142857142857143,0.0
wesley heights way,18,7,0,7,1.0,8.428571428571429,0.04214285714285714,0.0
wesley heights way,21,7,0,7,1.0,9.571428571428571,0.04785714285714286,0.0
charlotte gateway station,23,7,1,8,0.875,11.625,0.058125,0.125
parkwood,0,7,1,8,0.875,8.125,0.040625,0.125
7th st,21,7,2,9,0.7777777777777778,7.444444444444445,0.08605775792036148,0.2222222222222222
9th street,19,7,2,9,0.7777777777777778,10.88888888888889,0.07909458341489144,0.2222222222222222
davidson st,20,7,2,9,0.7777777777777778,8.88888888888889,0.044444444444444446,0.2222222222222222
parkwood,16,7,2,9,0.7777777777777778,12.222222222222221,0.061111111111111116,0.2222222222222222
3rd street/convention center,3,7,4,11,0.6363636363636364,1.9090909090909092,0.17012757493199257,0.36363636363636365
ctc/arena,3,7,4,11,0.6363636363636364,3.6363636363636362,0.09257473223696402,0.36363636363636365
ctc/arena,21,7,4,11,0.6363636363636364,10.0,0.07074921840909075,0.36363636363636365
carson,4,7,6,13,0.5384615384615384,5.6923076923076925,0.4439056160299421,0.46153846153846156
25th street,0,6,0,6,1.0,8.666666666666666,0.043333333333333335,0.0
25th street,1,6,0,6,1.0,5.333333333333333,0.02666666666666667,0.0
25th street,2,6,0,6,1.0,9.333333333333334,0.04666666666666667,0.0
25th street,9,6,0,6,1.0,8.5,0.0425,0.0
25th street,20,6,0,6,1.0,9.666666666666666,0.04833333333333333,0.0
25th street,23,6,0,6,1.0,10.0,0.049999999999999996,0.0
36th street,5,6,0,6,1.0,8.166666666666666,0.04083333333333333,0.0
36th street,16,6,0,6,1.0,5.0,0.024999999999999998,0.0
